"Overlap";"DrugName";"ATC"
"1";"EpSO_ESSO_EPILONT";"Acetaminophen";"N02 ANALGESICS"
"2";"EpSO_ESSO_EPILONT";"Amphetamine";"N06 PSYCHOANALEPTICS"
"3";"EpSO_ESSO_EPILONT";"Carbamazepine";"N03 ANTIEPILEPTICS"
"4";"EpSO_ESSO_EPILONT";"Choline";"N02 ANALGESICS"
"5";"EpSO_ESSO_EPILONT";"Clozapine";"N05 PSYCHOLEPTICS"
"6";"EpSO_ESSO_EPILONT";"Dextroamphetamine";"N06 PSYCHOANALEPTICS"
"7";"EpSO_ESSO_EPILONT";"Diazepam";"N05 PSYCHOLEPTICS"
"8";"EpSO_ESSO_EPILONT";"Esketamine";"N01 ANESTHETICS"
"9";"EpSO_ESSO_EPILONT";"Fentanyl";"N02 ANALGESICS"
"10";"EpSO_ESSO_EPILONT";"Fluoxetine";"N06 PSYCHOANALEPTICS"
"11";"EpSO_ESSO_EPILONT";"Halothane";"N01 ANESTHETICS"
"12";"EpSO_ESSO_EPILONT";"Isoflurane";"N01 ANESTHETICS"
"13";"EpSO_ESSO_EPILONT";"Ketamine";"N01 ANESTHETICS"
"14";"EpSO_ESSO_EPILONT";"L-Tryptophan";"N06 PSYCHOANALEPTICS"
"15";"EpSO_ESSO_EPILONT";"Levodopa";"N04 ANTI-PARKINSON DRUGS"
"16";"EpSO_ESSO_EPILONT";"Lithium";"N05 PSYCHOLEPTICS"
"17";"EpSO_ESSO_EPILONT";"Melatonin";"N05 PSYCHOLEPTICS"
"18";"EpSO_ESSO_EPILONT";"Methadone";"N02 ANALGESICS"
"19";"EpSO_ESSO_EPILONT";"Methamphetamine";"N06 PSYCHOANALEPTICS"
"20";"EpSO_ESSO_EPILONT";"Midazolam";"N05 PSYCHOLEPTICS"
"21";"EpSO_ESSO_EPILONT";"Morphine";"N02 ANALGESICS"
"22";"EpSO_ESSO_EPILONT";"Olanzapine";"N05 PSYCHOLEPTICS"
"23";"EpSO_ESSO_EPILONT";"Pentobarbital";"N05 PSYCHOLEPTICS"
"24";"EpSO_ESSO_EPILONT";"Pethidine";"N02 ANALGESICS"
"25";"EpSO_ESSO_EPILONT";"Phenobarbital";"N05 PSYCHOLEPTICS"
"26";"EpSO_ESSO_EPILONT";"Phenol";"N01 ANESTHETICS"
"27";"EpSO_ESSO_EPILONT";"Phenytoin";"N03 ANTIEPILEPTICS"
"28";"EpSO_ESSO_EPILONT";"Propofol";"N01 ANESTHETICS"
"29";"EpSO_ESSO_EPILONT";"Valproic Acid";"N03 ANTIEPILEPTICS"
"30";"EpSO_ESSO";"Apomorphine";"N04 ANTI-PARKINSON DRUGS"
"31";"EpSO_ESSO";"Escitalopram";"N06 PSYCHOANALEPTICS"
"32";"EpSO_ESSO";"Imipramine";"N06 PSYCHOANALEPTICS"
"33";"EpSO_ESSO";"Levobupivacaine";"N01 ANESTHETICS"
"34";"EpSO_ESSO";"Sevoflurane";"N01 ANESTHETICS"
"35";"EpSO_ESSO";"Thiopental";"N05 PSYCHOLEPTICS"
"36";"EpSO_ESSO";"Amitriptyline";"N06 PSYCHOANALEPTICS"
"37";"EpSO";"Desipramine";"N06 PSYCHOANALEPTICS"
"38";"EpSO";"Paroxetine";"N06 PSYCHOANALEPTICS"
"39";"EpSO_EPILONT";"Gabapentin";"N03 ANTIEPILEPTICS"
"40";"EPILONT";"Lamotrigine";"N03 ANTIEPILEPTICS"
"41";"EPILONT";"Clonazepam";"N03 ANTIEPILEPTICS"
"42";"EPILONT";"Donepezil";"N06 PSYCHOANALEPTICS"
"43";"EPILONT";"Levetiracetam";"N03 ANTIEPILEPTICS"
"44";"EPILONT";"Memantine";"N06 PSYCHOANALEPTICS"
"45";"EPILONT";"Topiramate";"N03 ANTIEPILEPTICS"
"46";"EPILONT";"Vigabatrin";"N03 ANTIEPILEPTICS"
"47";"ESSO_EPILONT";"Dalfampridine";"N07 OTHER NERVOUS SYSTEM DRUGS"
"48";"ESSO_EPILONT";"Pilocarpine";"N07 OTHER NERVOUS SYSTEM DRUGS"
"49";"ESSO";"Naltrexone";"N07 OTHER NERVOUS SYSTEM DRUGS"
