_id,concept,doccount
(R)-Fluoxetine@DrugBank,(R)-Fluoxetine,61
(R)-Praziquantel@DrugBank,(R)-Praziquantel,84
(S)-AMPA@DrugBank,(S)-AMPA,2
"1,2-Hydro-1-Oxy-3,4-Hydro-3-(1-Methoxy-2-Oxy-3,4-Dihydroxypentyl)-8,9-Dihydroxy-7-(Sec-Butyl)-Anthracene@DrugBank","1,2-Hydro-1-Oxy-3,4-Hydro-3-(1-Methoxy-2-Oxy-3,4-Dihydroxypentyl)-8,9-Dihydroxy-7-(Sec-Butyl)-Anthracene",5
"1,4-alpha-Glucan Branching Enzyme@MeSH","1,4-alpha-Glucan Branching Enzyme",7
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine@MeSH,1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,13
1-Alkyl-2-acetylglycerophosphocholine Esterase@MeSH,1-Alkyl-2-acetylglycerophosphocholine Esterase,2
1-Butanol@MeSH,1-Butanol,10
1-Methyl-3-isobutylxanthine@MeSH,1-Methyl-3-isobutylxanthine,4
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine@MeSH","1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",18
1-Methyl-4-phenylpyridinium@MeSH,1-Methyl-4-phenylpyridinium,3
1-Octanol@MeSH,1-Octanol,1
1-Propanol@MeSH,1-Propanol,2
1-naphthaleneacetic acid@DrugBank,1-naphthaleneacetic acid,56
11-beta-Hydroxysteroid Dehydrogenases@MeSH,11-beta-Hydroxysteroid Dehydrogenases,1
"12-Hydroxy-5,8,10,14-eicosatetraenoic Acid@MeSH","12-Hydroxy-5,8,10,14-eicosatetraenoic Acid",2
14-3-3 Proteins@MeSH,14-3-3 Proteins,6
15-Oxoprostaglandin 13-Reductase@MeSH,15-Oxoprostaglandin 13-Reductase,1
17-Hydroxycorticosteroids@MeSH,17-Hydroxycorticosteroids,5
17-Ketosteroids@MeSH,17-Ketosteroids,3
17-alpha-Hydroxyprogesterone@MeSH,17-alpha-Hydroxyprogesterone,4
19-norandrostenedione@DrugBank,19-norandrostenedione,878
"1D-myo-inositol 1,4,5-trisphosphate@DrugBank","1D-myo-inositol 1,4,5-trisphosphate",13
"2',3'-Cyclic Nucleotide 3'-Phosphodiesterase@MeSH","2',3'-Cyclic Nucleotide 3'-Phosphodiesterase",1
"2',3'-Cyclic-Nucleotide Phosphodiesterases@MeSH","2',3'-Cyclic-Nucleotide Phosphodiesterases",2
"2',5'-Oligoadenylate Synthetase@MeSH","2',5'-Oligoadenylate Synthetase",1
2'-Deoxycytidine@DrugBank,2'-Deoxycytidine,75
2'-Deoxyinosine@DrugBank,2'-Deoxyinosine,1
2'-deoxyuridylic acid@DrugBank,2'-deoxyuridylic acid,3
"2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine@MeSH","2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine",3
"2,3-Diphosphoglycerate@MeSH","2,3-Diphosphoglycerate",3
"2,4-Diaminobutyric Acid@DrugBank","2,4-Diaminobutyric Acid",1
"2,4-Dichlorophenoxyacetic Acid@MeSH","2,4-Dichlorophenoxyacetic Acid",2
"2,4-Dinitrophenol@DrugBank","2,4-Dinitrophenol",3
"2,4-Dinitrophenol@MeSH","2,4-Dinitrophenol",2
"2,4-thiazolidinedione@DrugBank","2,4-thiazolidinedione",1
"2,5-Dimethoxy-4-Methylamphetamine@MeSH","2,5-Dimethoxy-4-Methylamphetamine",12
"2,6-Dichloroindophenol@MeSH","2,6-Dichloroindophenol",1
2-Amino-5-phosphonovalerate@MeSH,2-Amino-5-phosphonovalerate,106
2-Aminoadipic Acid@MeSH,2-Aminoadipic Acid,12
2-Chloroadenosine@MeSH,2-Chloroadenosine,39
2-Hydroxypropyl-beta-cyclodextrin@MeSH,2-Hydroxypropyl-beta-cyclodextrin,5
2-Methoxyestradiol@DrugBank,2-Methoxyestradiol,35
2-Naphthylamine@MeSH,2-Naphthylamine,1
2-Propanol@MeSH,2-Propanol,10
2-deoxyglucose@DrugBank,2-deoxyglucose,51
22q11 Deletion Syndrome@MeSH,22q11 Deletion Syndrome,3
25-Hydroxyvitamin D 2@MeSH,25-Hydroxyvitamin D 2,2
3' Flanking Region@MeSH,3' Flanking Region,2
3' Untranslated Regions@MeSH,3' Untranslated Regions,20
"3',5'-Cyclic-AMP Phosphodiesterases@MeSH","3',5'-Cyclic-AMP Phosphodiesterases",1
"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer@MeSH","3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer",2
"3,4-Dihydroxyphenylacetic Acid@MeSH","3,4-Dihydroxyphenylacetic Acid",24
"3,4-Methylenedioxyamphetamine@MeSH","3,4-Methylenedioxyamphetamine",2
3-Hydroxyacyl CoA Dehydrogenases@MeSH,3-Hydroxyacyl CoA Dehydrogenases,5
3-Hydroxyacyl-CoA Dehydrogenase@MeSH,3-Hydroxyacyl-CoA Dehydrogenase,5
"3-Hydroxyanthranilate 3,4-Dioxygenase@MeSH","3-Hydroxyanthranilate 3,4-Dioxygenase",7
3-Hydroxyanthranilic Acid@DrugBank,3-Hydroxyanthranilic Acid,7
3-Hydroxyanthranilic Acid@MeSH,3-Hydroxyanthranilic Acid,1
3-Hydroxybutyric Acid@MeSH,3-Hydroxybutyric Acid,5
3-Hydroxysteroid Dehydrogenases@MeSH,3-Hydroxysteroid Dehydrogenases,1
3-Iodobenzylguanidine@MeSH,3-Iodobenzylguanidine,2
3-Mercaptopropionic Acid@MeSH,3-Mercaptopropionic Acid,68
3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide)@MeSH,3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide),1
3-O-Methylglucose@MeSH,3-O-Methylglucose,3
3-Tyrosine@DrugBank,3-Tyrosine,1
3-isobutyl-1-methyl-7H-xanthine@DrugBank,3-isobutyl-1-methyl-7H-xanthine,4
3-phospho-D-glyceric acid@DrugBank,3-phospho-D-glyceric acid,4
3T3 Cells@MeSH,3T3 Cells,2
3T3-L1 Cells@MeSH,3T3-L1 Cells,1
"4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid@MeSH","4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid",6325
4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone@MeSH,4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone,2
"4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid@MeSH","4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid",63
4-Aminobenzoic Acid@MeSH,4-Aminobenzoic Acid,1
4-Aminobutyrate Transaminase@MeSH,4-Aminobutyrate Transaminase,157
4-Aminopyridine@MeSH,4-Aminopyridine,154
4-Butyrolactone@MeSH,4-Butyrolactone,33
4-Hydroxyphenylpyruvate Dioxygenase@MeSH,4-Hydroxyphenylpyruvate Dioxygenase,1
"4-Methyl-2,5-dimethoxyamphetamine@DrugBank","4-Methyl-2,5-dimethoxyamphetamine",4
4-Nitrophenylphosphatase@MeSH,4-Nitrophenylphosphatase,3
5' Flanking Region@MeSH,5' Flanking Region,7
5' Untranslated Regions@MeSH,5' Untranslated Regions,6
5'-Nucleotidase@MeSH,5'-Nucleotidase,9
"5,6-Dihydroxytryptamine@MeSH","5,6-Dihydroxytryptamine",4
"5,7-Dihydroxytryptamine@MeSH","5,7-Dihydroxytryptamine",18
"5,8,11,14-Eicosatetraynoic Acid@MeSH","5,8,11,14-Eicosatetraynoic Acid",1
5-Hydroxytryptophan@MeSH,5-Hydroxytryptophan,84
5-Methoxytryptamine@MeSH,5-Methoxytryptamine,8
5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase@MeSH,5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase,9
5-alpha Reductase Inhibitors@MeSH,5-alpha Reductase Inhibitors,1
5-alpha-Dihydroprogesterone@MeSH,5-alpha-Dihydroprogesterone,2
"5-amino-1,3,4-thiadiazole-2-thiol@DrugBank","5-amino-1,3,4-thiadiazole-2-thiol",1
